,品名,规格,市场,价格,趋势,周涨跌,月涨跌,年涨跌
0, 莱菔子 , 统 较广 ,玉林,10.50,平,0.00%,0.00%,-12.50%
1, 老鹳草 , 统 较广 ,玉林,3.50,平,0.00%,0.00%,0.00%
2, 雷公藤 , 统片 广西 ,玉林,7.50,缺,0.00%,0.00%,0.00%
3, 荔枝核 , 统 两广 ,玉林,8.00,平,0.00%,0.00%,-20.00%
4, 连翘 , 青翘水煮统.. ,玉林,40.00,平,0.00%,-2.44%,-38.46%
5, 莲房 , 统 较广 ,玉林,7.00,缺,0.00%,0.00%,0.00%
6, 莲子心 , 统 湖南 ,玉林,55.00,平,0.00%,0.00%,-31.25%
7, 凉粉草 , 统 广西 ,玉林,11.00,平,0.00%,0.00%,15.79%
8, 两面针 , 阳枝 广西 ,玉林,4.50,平,0.00%,0.00%,0.00%
9, 细辛 , 净根 辽宁 ,玉林,275.00,平,0.00%,1.85%,-11.29%
10, 了哥王 , 统 广东 ,玉林,12.00,平,0.00%,0.00%,0.00%
11, 灵香草 , 统货 云南 ,玉林,35.00,平,0.00%,-2.78%,-13.58%
12, 灵芝 , 野生黑统 .. ,玉林,420.00,平,0.00%,0.00%,0.00%
13, 灵芝 , 家种统个 .. ,玉林,35.00,平,0.00%,0.00%,0.00%
14, 青风藤 , 统片 较广 ,玉林,8.00,平,0.00%,0.00%,-5.88%
15, 凌霄花 , 统 江苏 ,玉林,48.00,平,0.00%,0.00%,0.00%
16, 硫黄 , 统块 较广 ,玉林,4.00,平,0.00%,0.00%,0.00%
17, 神曲 , 统货 ,玉林,11.00,平,0.00%,0.00%,0.00%
18, 龙胆 , 南净根统 .. ,玉林,105.00,平,0.00%,0.00%,0.00%
19, 龙骨风 , 统片 广西 ,玉林,10.50,慢,0.00%,0.00%,0.00%
20, 胡芦巴 , 统 进口 ,玉林,7.00,平,0.00%,0.00%,-22.22%
21, 芦根 , 饮片货 河.. ,玉林,13.00,平,0.00%,0.00%,0.00%
22, 芦荟 , 统块 较广 ,玉林,75.00,平,0.00%,0.00%,7.14%
23, 炉甘石 , 统块 较广 ,玉林,40.00,缺,0.00%,0.00%,14.29%
24, 鹿角霜 , 统 东北 ,玉林,110.00,缺,0.00%,0.00%,0.00%
25, 鹿衔草 , 统货 东北 ,玉林,24.00,平,0.00%,0.00%,-11.11%
26, 路路通 , 去刺统 较.. ,玉林,6.50,平,0.00%,0.00%,0.00%
27, 路路通 , 带刺统 较.. ,玉林,4.00,平,0.00%,0.00%,-11.11%
28, 罗布麻叶 , 统 河北 ,玉林,15.00,平,0.00%,0.00%,0.00%
29, 罗汉果 , 大个 广西 ,玉林,1.00,平,0.00%,0.00%,0.00%
30, 罗汉果 , 中个 广西 ,玉林,0.75,平,0.00%,0.00%,-6.25%
31, 罗汉果 , 小个 广西 ,玉林,0.50,平,0.00%,0.00%,-9.09%
32, 络石藤 , 统 较广 ,玉林,6.00,平,0.00%,0.00%,-7.69%
33, 麻黄 , 统货 内蒙 ,玉林,17.00,缺,0.00%,0.00%,0.00%
34, 马鞭草 , 统 较广 ,玉林,9.00,平,0.00%,0.00%,-10.00%
35, 马勃 , 统个 东北 ,玉林,75.00,平,0.00%,0.00%,0.00%
36, 鹿茸 , 红粉片 ,玉林,5000.00,缺,0.00%,0.00%,0.00%
37, 鹿茸 , 黄粉片 ,玉林,4200.00,缺,0.00%,0.00%,0.00%
38, 马钱子 , 统 进口 ,玉林,70.00,平,0.00%,0.00%,0.00%
39, 蚂蚁 , 黑小统 较.. ,玉林,110.00,平,0.00%,0.00%,0.00%
40, 菟丝子 , 水洗 宁夏 ,玉林,17.00,平,0.00%,0.00%,-39.29%
41, 瓦楞子 , 统 山东 ,玉林,1.80,平,0.00%,0.00%,0.00%
42, 扭肚藤 , 统 两广 ,玉林,4.00,平,0.00%,0.00%,0.00%
43, 王不留行 , 统 河南 ,玉林,6.00,平,0.00%,0.00%,-33.33%
44, 威灵仙 , 水洗个 东.. ,玉林,60.00,慢,0.00%,0.00%,-20.00%
45, 乌梅 , 生统个 较.. ,玉林,14.00,平,0.00%,0.00%,-12.50%
